idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s,tokens_received,gen_chars,saw_done,finish_reason
195,16.054,16.055680145000224,1.7128052690004552,ok,0.05897706500036293,0.02093420764557075,0.027990165999653982,80,431,True,length
196,16.121,16.12162904899924,1.7305676069991023,ok,0.0691058049997082,0.021030869518976425,0.02942314199935936,80,415,True,length
197,16.175,16.175921265999932,1.7222524490007345,ok,0.05566574300064531,0.021095728379736146,0.029414906000965857,80,404,True,length
198,16.229,16.22916104199976,1.7372472589995596,ok,0.06294961899948248,0.021193304987361983,0.02861303900135681,80,455,True,length
199,16.269,16.269870586000252,1.7370994390003034,ok,0.0636890259993379,0.021182075696201595,0.029056847000902053,80,347,True,length
200,16.336,16.336627695998686,1.7376995720005652,ok,0.06099881299996923,0.021223745240523742,0.02862173600078677,80,346,True,length
201,16.35,16.35049633899871,1.7464981299999636,ok,0.0633490640011587,0.021305395215170428,0.028697169000224676,80,324,True,length
202,16.404,16.404317700998945,1.7319744380001794,ok,0.05801115699978254,0.021189127265815726,0.029470442001183983,80,380,True,length
203,16.418,16.418899960999624,1.7430285649988946,ok,0.06579567299922928,0.02123051421519069,0.028630204000364756,80,383,True,length
204,16.431,16.431496289998904,1.7541737920000742,ok,0.07037346300057834,0.02131373987342872,0.02869591200033028,80,353,True,length
205,16.444,16.445098008998684,1.7404907339987403,ok,0.056726381999396835,0.02131318587340456,0.028693757998553338,80,402,True,length
206,16.538,16.538653961999444,1.758779900999798,ok,0.06279754199931631,0.021467737620258946,0.029474799999661627,80,393,True,length
207,16.578,16.580052661998707,1.7591392750000523,ok,0.06591106000087166,0.021432959898724038,0.029473915999915334,80,411,True,length
208,16.605,16.605664937000256,1.7593825780004408,ok,0.06380735499988077,0.021462678291144687,0.028696238001430174,80,380,True,length
209,16.619,16.62038532099905,1.7701173219993507,ok,0.0711968790001265,0.02150503534176096,0.029464798999470077,80,453,True,length
210,16.646,16.64615771699937,1.7688699749996886,ok,0.06774467299874232,0.021532865835449885,0.029475618999640574,80,591,True,length
211,16.659,16.660749369999394,1.7767556620001415,ok,0.07525567700031388,0.021537662582276528,0.028617992998988484,80,347,True,length
212,16.686,16.68668230899857,1.776150862000577,ok,0.0663425399998232,0.021642778303798935,0.029417883000860456,80,503,True,length
213,16.767,16.76906376899933,1.7820533869999053,ok,0.0660213039991504,0.02172139217723673,0.03014467599859927,80,458,True,length
214,16.781,16.78209036499902,1.7864785219990154,ok,0.07492993599953479,0.021664838696214925,0.03028794400051993,80,369,True,length
215,16.808,16.808792493999135,1.7875042109990318,ok,0.07019773299907683,0.021737756430377,0.030288412999652792,80,187,True,length
216,16.834,16.835214853999787,1.7790929889997642,ok,0.06693720300063433,0.02167254167087074,0.030171231001077103,80,354,True,length
